CostCat,VehType,VTCost_cpm
Fuel,LDVAvgSedan,14.59
Maintenance,LDVAvgSedan,5.47
AccAndIns,LDVAvgSedan,8.447257384
VehCapCost,LDVAvgSedan,29.907173
TollsFees,LDVAvgSedan,0
Parking,LDVAvgSedan,2.109704641
Time,LDVAvgSedan,49.994933
Registration,LDVAvgSedan,5.147679325
Fuel,LDVAvgLtTruck,19.63
Maintenance,LDVAvgLtTruck,6.15
AccAndIns,LDVAvgLtTruck,8.490909091
VehCapCost,LDVAvgLtTruck,43.49090909
TollsFees,LDVAvgLtTruck,0
Parking,LDVAvgLtTruck,2.272727273
Time,LDVAvgLtTruck,49.994933
Registration,LDVAvgLtTruck,7.218181818
Fuel,HDVClass8,59
Maintenance,HDVClass8,19.4
AccAndIns,HDVClass8,6.7
VehCapCost,HDVClass8,18.9
TollsFees,HDVClass8,5.5
Parking,HDVClass8,0
Time,HDVClass8,61.1
Registration,HDVClass8,0
Total,HDVClass8,170.6
Total,LDVAvgLtTruck,137.24766027200002
Total,LDVAvgSedan,115.66674735000001
